"Date","MCP ","SMP ","Positive Imbalance Price (TL/MWh)","Negative Imbalance Price (TL/MWh)","SMP Direction"
"01.07.20 00:00","323.85","211.00","204.67","333.57","?Energy Surplus"
"01.07.20 01:00","326.95","201.00","194.97","336.76","?Energy Surplus"
"01.07.20 02:00","324.31","211.00","204.67","334.04","?Energy Surplus"
"01.07.20 03:00","322.11","211.00","204.67","331.77","?Energy Surplus"
"01.07.20 04:00","320.00","201.00","194.97","329.60","?Energy Surplus"
"01.07.20 05:00","286.21","181.00","175.57","294.80","?Energy Surplus"
"01.07.20 06:00","210.13","113.75","110.34","216.43","?Energy Surplus"
"01.07.20 07:00","318.20","201.00","194.97","327.75","?Energy Surplus"
"01.07.20 08:00","324.85","181.00","175.57","334.60","?Energy Surplus"
"01.07.20 09:00","327.67","181.00","175.57","337.50","?Energy Surplus"
"01.07.20 10:00","329.60","250.00","242.50","339.49","?Energy Surplus"
"01.07.20 11:00","329.99","329.99","320.09","339.89","? Energy Deficit"
"01.07.20 12:00","324.21","342.80","314.48","353.08","? Energy Deficit"
"01.07.20 13:00","327.83","355.83","318.00","366.50","? Energy Deficit"
"01.07.20 14:00","332.37","377.37","322.40","388.69","? Energy Deficit"
"01.07.20 15:00","331.29","376.29","321.35","387.58","? Energy Deficit"
"01.07.20 16:00","331.14","375.00","321.21","386.25","? Energy Deficit"
"01.07.20 17:00","330.81","360.81","320.89","371.63","? Energy Deficit"
"01.07.20 18:00","327.06","351.46","317.25","362.00","? Energy Deficit"
"01.07.20 19:00","325.04","342.80","315.29","353.08","? Energy Deficit"
"01.07.20 20:00","329.11","250.00","242.50","338.98","?Energy Surplus"
"01.07.20 21:00","329.95","280.00","271.60","339.85","?Energy Surplus"
"01.07.20 22:00","327.72","282.72","274.24","337.55","?Energy Surplus"
"01.07.20 23:00","322.85","273.00","264.81","332.54","?Energy Surplus"
"02.07.20 00:00","300.26","310.26","291.25","319.57","? Energy Deficit"
"02.07.20 01:00","302.94","310.00","293.85","319.30","? Energy Deficit"
"02.07.20 02:00","300.46","301.00","291.45","310.03","? Energy Deficit"
"02.07.20 03:00","199.33","234.33","193.35","241.36","? Energy Deficit"
"02.07.20 04:00","268.88","298.88","260.81","307.85","? Energy Deficit"
"02.07.20 05:00","223.99","253.99","217.27","261.61","? Energy Deficit"
"02.07.20 06:00","199.33","229.33","193.35","236.21","? Energy Deficit"
"02.07.20 07:00","300.01","335.01","291.01","345.06","? Energy Deficit"
"02.07.20 08:00","308.23","343.23","298.98","353.53","? Energy Deficit"
"02.07.20 09:00","312.91","377.67","303.52","389.00","? Energy Deficit"
"02.07.20 10:00","316.74","389.60","307.24","401.29","? Energy Deficit"
"02.07.20 11:00","319.22","401.06","309.64","413.09","? Energy Deficit"
"02.07.20 12:00","313.71","401.60","304.30","413.65","? Energy Deficit"
"02.07.20 13:00","317.90","402.00","308.36","414.06","? Energy Deficit"
"02.07.20 14:00","321.50","404.01","311.86","416.13","? Energy Deficit"
"02.07.20 15:00","320.99","404.02","311.36","416.14","? Energy Deficit"
"02.07.20 16:00","320.24","404.02","310.63","416.14","? Energy Deficit"
"02.07.20 17:00","319.68","403.61","310.09","415.72","? Energy Deficit"
